Timestamp,LossRate,Latency,Jitter,TotalPackets,MatchedPackets
1733532667.506691,0.00,0.00,0.00,0,0
1733532668.007019,0.00,0.00,0.00,0,0
1733532668.507300,0.00,0.00,0.00,0,0
1733532669.007521,0.00,0.00,0.00,0,0
1733532669.507804,0.00,0.00,0.00,0,0
1733532670.007959,0.00,0.00,0.00,0,0
1733532670.508071,0.00,0.00,0.00,0,0
1733532671.008205,0.00,0.00,0.00,0,0
1733532671.515856,0.00,0.00,0.00,0,0
1733532672.016064,0.00,0.00,0.00,0,0
1733532672.516392,0.00,0.00,0.00,0,0
1733532673.016622,0.00,0.00,0.00,0,0
1733532673.516824,0.00,0.00,0.00,0,0
1733532674.017020,0.00,0.00,0.00,0,0
1733532674.517208,0.00,0.00,0.00,0,0
1733532675.017346,0.00,0.00,0.00,0,0
1733532675.517485,0.00,0.00,0.00,0,0
1733532676.017636,0.00,0.00,0.00,0,0
1733532676.517816,0.00,0.00,0.00,0,0
1733532677.018100,0.00,0.00,0.00,0,0
1733532677.518448,0.00,0.00,0.00,0,0
1733532678.018730,0.00,0.00,0.00,0,0
1733532678.518909,0.00,0.00,0.00,0,0
1733532679.019179,0.00,0.00,0.00,0,0
1733532679.519372,0.00,0.00,0.00,0,0
1733532680.019557,0.00,0.00,0.00,0,0
1733532680.519774,0.00,0.00,0.00,0,0
1733532681.020007,0.00,0.00,0.00,0,0
1733532681.520267,0.00,0.00,0.00,0,0
1733532682.020511,0.00,0.00,0.00,0,0
1733532682.520730,0.00,0.00,0.00,0,0
1733532683.020893,0.00,0.00,0.00,0,0
1733532683.521072,0.00,0.00,0.00,0,0
1733532684.021231,0.00,0.00,0.00,0,0
1733532684.521376,0.00,0.00,0.00,0,0
1733532685.021551,0.00,0.00,0.00,0,0
1733532685.521761,0.00,0.00,0.00,0,0
1733532686.022004,0.00,0.00,0.00,0,0
1733532686.522263,0.00,0.00,0.00,0,0
1733532687.022546,0.00,0.00,0.00,0,0
1733532687.522749,0.00,0.00,0.00,0,0
1733532688.022983,0.00,0.00,0.00,0,0
1733532688.523226,0.00,0.00,0.00,0,0
1733532689.023502,0.00,0.00,0.00,0,0
1733532689.523690,0.00,0.00,0.00,0,0
1733532690.023905,0.00,0.00,0.00,0,0
1733532690.524076,0.00,0.00,0.00,0,0
1733532691.024271,0.00,0.00,0.00,0,0
1733532691.524537,0.00,0.00,0.00,0,0
1733532692.024703,0.00,0.00,0.00,0,0
1733532692.524844,0.00,0.00,0.00,0,0
1733532693.025012,0.00,0.00,0.00,0,0
1733532693.525230,0.00,0.00,0.00,0,0
1733532694.025484,0.00,0.00,0.00,0,0
1733532694.525673,0.00,0.00,0.00,0,0
1733532695.025861,0.00,0.00,0.00,0,0
1733532695.526088,0.00,0.00,0.00,0,0
1733532696.026361,0.00,0.00,0.00,0,0
1733532696.526588,0.00,0.00,0.00,0,0
1733532697.026796,0.00,0.00,0.00,0,0
1733532697.527045,0.00,0.00,0.00,0,0
1733532698.027280,0.00,0.00,0.00,0,0
1733532698.527520,0.00,0.00,0.00,0,0
1733532699.027824,0.00,0.00,0.00,0,0
1733532699.528048,0.00,0.00,0.00,0,0
1733532700.028312,0.00,0.00,0.00,0,0
1733532700.528585,0.00,0.00,0.00,0,0
1733532701.028887,0.00,0.00,0.00,0,0
1733532701.529095,0.00,0.00,0.00,0,0
1733532702.029271,0.00,0.00,0.00,0,0
1733532702.529425,0.00,0.00,0.00,0,0
1733532703.029654,0.00,0.00,0.00,0,0
1733532703.529829,0.00,0.00,0.00,0,0
1733532704.030019,0.00,0.00,0.00,0,0
1733532704.530287,0.00,0.00,0.00,0,0
1733532705.030512,0.00,0.00,0.00,0,0
1733532705.530731,0.00,0.00,0.00,0,0
1733532706.030953,0.00,0.00,0.00,0,0
1733532706.531164,0.00,0.00,0.00,0,0
1733532707.031473,0.00,0.00,0.00,0,0
1733532707.531689,0.00,0.00,0.00,0,0
1733532708.031913,0.00,0.00,0.00,0,0
1733532708.532150,0.00,0.00,0.00,0,0
1733532709.032422,0.00,0.00,0.00,0,0
1733532709.532640,0.00,0.00,0.00,0,0
1733532710.032928,0.00,0.00,0.00,0,0
1733532710.533118,0.00,0.00,0.00,0,0
1733532711.033332,0.00,0.00,0.00,0,0
1733532711.533616,0.00,0.00,0.00,0,0
1733532712.033823,0.00,0.00,0.00,0,0
1733532712.534014,0.00,0.00,0.00,0,0
1733532713.034236,0.00,0.00,0.00,0,0
1733532713.534505,0.00,0.00,0.00,0,0
1733532714.034770,0.00,0.00,0.00,0,0
1733532714.534968,0.00,0.00,0.00,0,0
1733532715.035186,0.00,0.00,0.00,0,0
1733532715.535462,0.00,0.00,0.00,0,0
1733532716.035693,0.00,0.00,0.00,0,0
1733532716.535932,0.00,0.00,0.00,0,0
1733532717.036168,0.00,0.00,0.00,0,0
1733532717.536454,0.00,0.00,0.00,0,0
1733532718.036729,0.00,0.00,0.00,0,0
1733532718.536954,0.00,0.00,0.00,0,0
1733532719.037162,0.00,0.00,0.00,0,0
1733532719.537360,0.00,0.00,0.00,0,0
1733532720.037565,0.00,0.00,0.00,0,0
1733532720.537795,0.00,0.00,0.00,0,0
1733532721.037990,0.00,0.00,0.00,0,0
1733532721.538226,0.00,0.00,0.00,0,0
1733532722.038452,0.00,0.00,0.00,0,0
1733532722.538722,0.00,0.00,0.00,0,0
1733532723.038929,0.00,0.00,0.00,0,0
1733532723.539176,0.00,0.00,0.00,0,0
1733532724.039369,0.00,0.00,0.00,0,0
1733532724.539501,0.00,0.00,0.00,0,0
1733532725.039691,0.00,0.00,0.00,0,0
1733532725.539887,0.00,0.00,0.00,0,0
1733532726.040087,0.00,0.00,0.00,0,0
1733532726.540257,0.00,0.00,0.00,0,0
1733532727.040466,0.00,0.00,0.00,0,0
1733532727.540717,0.00,0.00,0.00,0,0
1733532728.040895,0.00,0.00,0.00,0,0
1733532728.541045,0.00,0.00,0.00,0,0
1733532729.041238,0.00,0.00,0.00,0,0
